Sample_ID,Long,Lat
51686_71,-123.554462,48.133958
51686_72,-123.554462,48.133958
51686_73,-123.554462,48.133958
51686_74,-123.554462,48.133958
51686_75,-123.554462,48.133958
51686_76,-123.554462,48.133958
51686_93,-123.554462,48.133958
51686_94,-123.555959,48.119386
51686_95,-123.554462,48.133958
51686_96,-123.554462,48.133958
51686_97,-123.599862,48.011814
51686_98,-123.599862,48.011814
51686_noID,-123.554462,48.133958
51761_17_001,-123.563271,48.139881
51761_17_002,-123.563271,48.139881
51761_17_003,-123.563271,48.139881
51761_17_005,-123.565757,48.140852
51761_17_006,-123.565757,48.140852
51761_17_007,-123.563271,48.139881
51761_17_008,-123.565757,48.140852
51761_17_011,-123.554462,48.133958
51761_17_012,-123.554462,48.133958
51761_17_023,-123.604386,47.990391
51761_17_028,-123.554462,48.133958
51761_17_032,-123.563271,48.139881
51761_17_034,-123.563271,48.139881
51761_17_042,-123.604386,47.990391
51761_17_045,-123.604386,47.990391
51761_17_049,-123.604386,47.990391
51761_17_067,-123.599862,48.011814
51761_17_37,-123.554462,48.133958
51761_17_38,-123.563271,48.139881
52008_2018_001,-123.554462,48.133958
52008_2018_002,-123.554462,48.133958
52008_2018_003,-123.563271,48.139881
52008_2018_008,-123.563271,48.139881
52008_2018_011,-123.554462,48.133958
52008_2018_016,-123.555959,48.119386
52008_2018_022,-123.555959,48.119386
52008_2018_026,-123.554462,48.133958
52008_2018_030,-123.563271,48.139881
52008_2018_040,-123.563271,48.139881
52008_2018_041,-123.554462,48.133958
52008_2018_050,-123.554462,48.133958
52008_2018_051,-123.563271,48.139881
52008_2018_060,-123.563271,48.139881
52008_2018_061,-123.563271,48.139881
52008_2018_RP001,-123.58939,48.030954
52008_2018_RP002,-123.58939,48.030954
52008_2018_RP003,-123.58939,48.030954
52008_RP2018_004,-123.58939,48.030954
52009_061918_1_Elk,-123.46932,47.870426
52009_061918_1_Mills,-123.605755,47.993774
52009_061918_10_Elk,-123.46932,47.870426
52009_061918_10_Mills,-123.605755,47.993774
52009_061918_11_Elk,-123.46932,47.870426
52009_061918_11_Mills,-123.605755,47.993774
52009_061918_12_Elk,-123.46932,47.870426
52009_061918_12_Mills,-123.605755,47.993774
52009_061918_13_Elk,-123.46932,47.870426
52009_061918_13_Mills,-123.605755,47.993774
52009_061918_14_Elk,-123.46932,47.870426
52009_061918_14_Mills,-123.605755,47.993774
52009_061918_15_Elk,-123.46932,47.870426
52009_061918_16_Elk,-123.46932,47.870426
52009_061918_16_Mills,-123.605755,47.993774
52009_061918_17_Elk,-123.46932,47.870426
52009_061918_18_Elk,-123.46932,47.870426
52009_061918_18_Mills,-123.605755,47.993774
52009_061918_19_Elk,-123.46932,47.870426
52009_061918_19_Mills,-123.605755,47.993774
52009_061918_2_Elk,-123.46932,47.870426
52009_061918_2_Mills,-123.605755,47.993774
52009_061918_20_Elk,-123.46932,47.870426
52009_061918_20_Mills,-123.605755,47.993774
52009_061918_21_Elk,-123.46932,47.870426
52009_061918_21_Mills,-123.605755,47.993774
52009_061918_22_Elk,-123.46932,47.870426
52009_061918_23_Elk,-123.46932,47.870426
52009_061918_24_Elk,-123.46932,47.870426
52009_061918_25_Mills,-123.605755,47.993774
52009_061918_26_Mills,-123.605755,47.993774
52009_061918_28_Mills,-123.605755,47.993774
52009_061918_29_Mills,-123.605755,47.993774
52009_061918_3_Elk,-123.46932,47.870426
52009_061918_31_Mills,-123.605755,47.993774
52009_061918_32_Mills,-123.605755,47.993774
52009_061918_33_Mills,-123.605755,47.993774
52009_061918_34_Mills,-123.605755,47.993774
52009_061918_35_Mills,-123.605755,47.993774
52009_061918_36_Mills,-123.605755,47.993774
52009_061918_4_Elk,-123.46932,47.870426
52009_061918_4_Mills,-123.605755,47.993774
52009_061918_5_Elk,-123.46932,47.870426
52009_061918_5_Mills,-123.605755,47.993774
52009_061918_6_Elk,-123.46932,47.870426
52009_061918_6_Mills,-123.605755,47.993774
52009_061918_7_Elk,-123.46932,47.870426
52009_061918_7_Mills,-123.605755,47.993774
52009_061918_8_Elk,-123.46932,47.870426
52009_061918_8_Mills,-123.605755,47.993774
52009_061918_9_Elk,-123.46932,47.870426
52009_061918_9_Mills,-123.605755,47.993774
52009_062018_61_Hayes,-123.466043,47.83032
52009_062018_62_Hayes,-123.466043,47.83032
52009_062018_63_Hayes,-123.466043,47.83032
52009_062018_64_Hayes,-123.466043,47.83032
52009_062018_65_Hayes,-123.466043,47.83032
52009_062018_66_Hayes,-123.466043,47.83032
52009_062018_67_Hayes,-123.466043,47.83032
52009_062018_68_Hayes,-123.466043,47.83032
52009_062018_69_Hayes,-123.466043,47.83032
52009_062018_70_Hayes,-123.466043,47.83032
52009_062018_71_Hayes,-123.466043,47.83032
52009_062018_72_Hayes,-123.466043,47.83032
52009_062018_73_Hayes,-123.466043,47.83032
52009_062018_74_Hayes,-123.466043,47.83032
52009_062018_75_Hayes,-123.466043,47.83032
52009_062018_76_Hayes,-123.466043,47.83032
52009_062018_77_Hayes,-123.466043,47.83032
52009_062118_1_Geyser,-123.564708,47.953049
52009_062118_11_Geyser,-123.564708,47.953049
52009_062118_6_Geyser,-123.564708,47.953049
52009_062118_7_Geyser,-123.564708,47.953049
52009_071918_17_Geyser,-123.564708,47.953049
52009_071918_18_Geyser,-123.564708,47.953049
52009_071918_19_Geyser,-123.564708,47.953049
52009_071918_20_Geyser,-123.564708,47.953049
52009_071918_21_Geyser,-123.564708,47.953049
52009_071918_22_Geyser,-123.564708,47.953049
52009_071918_23_Geyser,-123.564708,47.953049
52009_071918_24_Geyser,-123.564708,47.953049
52009_071918_25_Geyser,-123.564708,47.953049
52009_071918_26_Geyser,-123.564708,47.953049
52009_071918_27_Geyser,-123.564708,47.953049
52009_071918_28_Geyser,-123.564708,47.953049
52009_071918_29_Geyser,-123.564708,47.953049
52009_071918_30_Geyser,-123.564708,47.953049
52009_071918_31_Geyser,-123.564708,47.953049
52009_071918_32_Geyser,-123.564708,47.953049
52009_071918_33_Geyser,-123.564708,47.953049
52009_071918_34_Geyser,-123.564708,47.953049
52009_071918_35_Geyser,-123.564708,47.953049
52009_071918_36_Geyser,-123.564708,47.953049
52009_071918_37_Geyser,-123.564708,47.953049
52009_072418_1_Elk,-123.46932,47.870426
52009_072418_10_Elk,-123.46932,47.870426
52009_072418_11_Elk,-123.46932,47.870426
